Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
TAire10,Celsius,1,2020,27.6,240134.76,8714,99.0,0,0.0,27.4,31.5,34.3,21.6,0,ATLANTICO,BARRANQUILLA,Fija
TAire10,Celsius,24,2020,27.6,10002.41,363,99.0,0,0.0,27.5,29.3,29.7,24.1,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,1,2020,2.7,23336.48,8714,99.0,0,0.0,2.6,5.9,7.2,0.0,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,24,2020,2.7,971.19,363,99.0,0,0.0,2.5,5.5,5.8,0.0,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,1,2020,75.6,569533.17,7536,86.0,0,0.0,79.6,97.1,99.2,0.0,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,24,2020,75.5,22731.79,301,82.0,0,0.0,77.7,92.0,96.1,0.0,0,ATLANTICO,BARRANQUILLA,Fija
PLiquida,mm,1,2020,69.6,494382.0,7103,81.0,0,0.0,0.0,1.4,7238.0,0.0,0,ATLANTICO,BARRANQUILLA,Fija
PLiquida,mm,24,2020,1133.9,320901.2,283,77.0,0,0.0,0.0,35.6,160428.0,0.0,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,1,2020,774.5,900711.765,1163,13.0,0,0.0,1003.6,1008.2,1010.1,0.0,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,24,2020,790.8,31631.02,40,11.0,0,0.0,1004.0,1007.0,1007.1,0.0,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,1,2020,208.9,1557850.98,7457,85.0,0,0.0,0.0,891.5,1090.8,0.0,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,24,2020,227.6,67821.6,298,81.0,0,0.0,236.9,326.4,363.6,0.0,0,ATLANTICO,BARRANQUILLA,Fija
TAire10,Celsius,1,2020,26.5,198271.225,7481,85.0,0,0.0,26.1,31.5,35.3,2.9,0,ATLANTICO,BARRANQUILLA,Fija
TAire10,Celsius,24,2020,26.5,7899.54,298,81.0,0,0.0,26.5,28.3,29.2,22.7,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,1,2020,1.8,13770.925,7652,87.0,0,0.0,0.6,7.6,12.3,0.0,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,24,2020,1.8,552.87,307,84.0,0,0.0,1.3,6.5,8.7,0.0,0,ATLANTICO,BARRANQUILLA,Fija
